"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sause Demo 1","0","Enter personal data on Page Checkout your information","1","0","Go to the checkout Your Information page and enter your personal information, then go to the checkout Overview page","0"
"0","Sause Demo 1","0","Log in","1","0","Log in with positive credentials","0"
"0","Sause Demo 1","0","Go to  single Product Cart from Cart","1","0","click On The Product InCart and go to single Product  page","0"
"0","Sause Demo 1","0","Log in","3","0","Log in with negative credentials","0"
"0","Sause Demo 1","0","Add to cart on product page","1","0","Add product to product cart","0"
"0","Sause Demo 1","0","Remove from cart on product page","1","0","Remove from product cart","0"
"0","Sause Demo 1","0","Go to Checkout Overview Page","1","0","click Finish Button on Checkout Overview Page","0"
"0","Sause Demo 1","0","Continue Shopping from Cart","1","0","click Continue Shopping in Cart and go to Products page","0"
"0","Sause Demo 1","0","Cart","1","0","Go to emty cart","0"
"0","Sause Demo 1","0","Delete product from Cart","1","0","click On remove From Cart and stay in empty cart","0"
"0","Sause Demo 1","0","Checkout from Cart","1","0","click Checkout Button in Cart and go to Checkout page","0"
