"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","629","Добавление продукта в корзину","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Thread 1","tests.ProductsTest","addProductToCart"
"","10687","Проверка возможнотсти удаления добаленного товара из корзины","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","removeProductFromCart"
"","793","Проверка возможнотсти перейти в карточку товара из корзины","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","goToTheProductCardFromCart"
"","1337","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","fillOutYourInformationWithWalidData"
"Проверка возможнотсти перейти в пустую корзину","798","Проверка возможнотсти перейти в пустую корзину","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","goToEmptyCart"
"","665","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","793","Проверка возможнотсти перейти на страницу оформления заказа из корзины с одним добавленным товаром","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","checkoutWithOneProduct"
"","647","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","734","Проверка возможнотсти продолжить покупки из корзины. В корзину ранее был добавлен товар","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","continueShoppingFromCart"
"","1739","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","2742","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Thread 2","tests.CheckoutOverviewTest","finishOrder"
"Проверка логина с позитивным именем пользователя и  паролем","791","Проверка логина с позитивным именем пользователя и  паролем","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithPositiveCred"
"","647","даление продукта из корзины на странице продуктов","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Thread 1","tests.ProductsTest","removeProductFromCart"
